bioguide,firstname,lastname,birthday,state,party,start_date,end_date
W000216,Anthony,Wayne,1745-01-01,GA,,1791-10-24,1793-03-02,No
W000352,Alexander,White,,VA,,1789-03-04,1791-03-03,No
W000352,Alexander,White,,VA,,1791-10-24,1793-03-02,No
W000551,Hugh,Williamson,1735-12-05,NC,Federalist,1789-03-04,1791-03-03,No
W000551,Hugh,Williamson,1735-12-05,NC,Federalist,1791-10-24,1793-03-02,No
W000560,Francis,Willis,1745-01-05,GA,,1791-10-24,1793-03-02,No
E000075,John,Edwards,,KY,Anti-Administration,1792-01-01,1795-03-03,No
P000473,Richard,Potts,1753-07-19,MD,Federalist,1793-01-10,1796-10-14,No
A000280,James,Armstrong,1748-08-29,PA,,1793-12-02,1795-03-03,No
B000282,John,Beatty,1749-12-10,NJ,,1793-12-02,1795-03-03,No
B000661,Elias,Boudinot,1740-05-02,NJ,,1789-03-04,1791-03-03,No
B000661,Elias,Boudinot,1740-05-02,NJ,,1791-10-24,1793-03-02,No
B000661,Elias,Boudinot,1740-05-02,NJ,,1793-12-02,1795-03-03,No
B000671,Shearjashub,Bourne,1746-06-14,MA,,1791-10-24,1793-03-02,No
B000671,Shearjashub,Bourne,1746-06-14,MA,,1793-12-02,1795-03-03,No
B000739,William,Bradford,1729-11-04,RI,Federalist,1793-12-02,1797-12-31,No
C000012,Lambert,Cadwalader,Not Found,NJ,,1789-03-04,1791-03-03,No
C000012,Lambert,Cadwalader,Not Found,NJ,,1793-12-02,1795-03-03,No
C000163,Thomas,Carnes,,GA,,1793-12-02,1795-03-03,No
C000418,Abraham,Clark,1726-02-15,NJ,,1791-10-24,1793-03-02,No
C000418,Abraham,Clark,1726-02-15,NJ,,1793-12-02,1795-03-03,No
C000545,David,Cobb,1748-09-14,MA,,1793-12-02,1795-03-03,No
C000591,Peleg,Coffin,1756-11-03,MA,,1793-12-02,1795-03-03,No
D000157,William,Dawson,,NC,Anti-Administration,1793-12-02,1795-03-03,No
E000060,Benjamin,Edwards,1753-08-12,MD,,1793-12-02,1795-03-03,No
F000178,Thomas,Fitzsimons,,PA,,1789-03-04,1791-03-03,No
F000178,Thomas,Fitzsimons,,PA,,1791-10-24,1793-03-02,No
F000178,Thomas,Fitzsimons,,PA,,1793-12-02,1795-03-03,No
F000282,Uriah,Forrest,Not Found,MD,,1793-12-02,1795-03-03,No
F000368,Frederick,Frelinghuysen,1753-04-13,NJ,Federalist,1793-12-02,1797-03-03,No
G000211,Alexander,Gillon,,SC,,1793-12-02,1795-03-03,No
G000311,James,Gordon,1739-10-31,NY,,1791-10-24,1793-03-02,No
G000311,James,Gordon,1739-10-31,NY,,1793-12-02,1795-03-03,No
G000466,Samuel,Griffin,,VA,,1789-03-04,1791-03-03,No
G000466,Samuel,Griffin,,VA,,1791-10-24,1793-03-02,No
G000466,Samuel,Griffin,,VA,,1793-12-02,1795-03-03,No
H000750,Samuel,Holten,1738-06-09,MA,,1793-12-02,1795-03-03,No
I000035,William,Irvine,1741-11-03,PA,,1793-12-02,1795-03-03,No
L000178,Amasa,Learned,1750-11-15,CT,,1791-10-24,1793-03-02,No
L000178,Amasa,Learned,1750-11-15,CT,,1793-12-02,1795-03-03,No
L000200,Richard,Lee,1761-01-20,VA,,1789-03-04,1791-03-03,No
L000200,Richard,Lee,1761-01-20,VA,,1791-10-24,1793-03-02,No
L000200,Richard,Lee,1761-01-20,VA,,1793-12-02,1795-03-03,No
M000166,Alexander,Martin,,NC,Republican,1793-12-02,1799-03-03,No
M000424,Joseph,McDowell,1758-02-25,NC,,1793-12-02,1795-03-03,No
M000622,Alexander,Mebane,1744-11-26,NC,,1793-12-02,1795-03-03,No
M000645,John,Mercer,1759-05-17,MD,,1791-10-24,1793-03-02,No
M000645,John,Mercer,1759-05-17,MD,,1793-12-02,1795-03-03,No
M000828,Stephen,Mitchell,1743-12-09,CT,Pro-Administration,1793-12-02,1795-03-03,No
M000873,William,Montgomery,1736-08-03,PA,,1793-12-02,1795-03-03,No
N000055,Joseph,Neville,,VA,,1793-12-02,1795-03-03,No
N000109,Nathaniel,Niles,1741-04-03,VT,,1791-10-24,1793-03-02,No
N000109,Nathaniel,Niles,1741-04-03,VT,,1793-12-02,1795-03-03,No
P000320,Andrew,Pickens,1739-09-13,SC,,1793-12-02,1795-03-03,No
S000186,Thomas,Scott,,PA,,1789-03-04,1791-03-03,No
S000186,Thomas,Scott,,PA,,1793-12-02,1795-03-03,No
S001009,Caleb,Strong,1745-01-09,MA,Pro-Administration,1789-03-04,1793-03-02,No
S001009,Caleb,Strong,1745-01-09,MA,Federalist,1793-12-02,1797-03-03,No
T000019,Silas,Talbot,1751-01-11,NY,,1793-12-02,1795-03-03,No
T000361,Thomas,Tredwell,1743-02-06,NY,,1791-10-24,1793-03-02,No
T000361,Thomas,Tredwell,1743-02-06,NY,,1793-12-02,1795-03-03,No
V000039,Peter,Van Gaasbeck,1754-09-27,NY,,1793-12-02,1795-03-03,No
V000104,John,Vining,1758-12-23,DE,Pro-Administration,1789-03-04,1791-03-03,No
V000104,John,Vining,1758-12-23,DE,Pro-Administration,1791-10-24,1793-03-02,No
V000104,John,Vining,1758-12-23,DE,Federalist,1793-12-02,1799-03-03,No
W000013,Jeremiah,Wadsworth,1743-07-12,CT,,1789-03-04,1791-03-03,No
W000013,Jeremiah,Wadsworth,1743-07-12,CT,,1791-10-24,1793-03-02,No
W000013,Jeremiah,Wadsworth,1743-07-12,CT,,1793-12-02,1795-03-03,No
W000051,Francis,Walker,1764-06-22,VA,,1793-12-02,1795-03-03,No
W000127,Artemas,Ward,1727-11-26,MA,,1791-10-24,1793-03-02,No
W000127,Artemas,Ward,1727-11-26,MA,,1793-12-02,1795-03-03,No
W000211,John,Watts,1749-08-27,NY,,1793-12-02,1795-03-03,No
W000491,Benjamin,Williams,1751-01-01,NC,,1793-12-02,1795-03-03,No
W000633,Paine,Wingate,1739-05-14,NH,Anti-Administration,1789-03-04,1793-03-02,No
W000633,Paine,Wingate,1739-05-14,NH,,1793-12-02,1795-03-03,No
T000107,Henry,Tazewell,1753-11-27,VA,Republican,1794-01-01,1799-03-03,No
W000114,George,Walton,,GA,Federalist,1795-11-16,1796-02-20,No
A000174,Fisher,Ames,1758-04-09,MA,Federalist,1789-03-04,1791-03-03,No
A000174,Fisher,Ames,1758-04-09,MA,Federalist,1791-10-24,1793-03-02,No
A000174,Fisher,Ames,1758-04-09,MA,Federalist,1793-12-02,1795-03-03,No
A000174,Fisher,Ames,1758-04-09,MA,Federalist,1795-12-07,1797-03-03,No
B000474,William,Bingham,1752-03-08,PA,Federalist,1795-12-07,1801-03-03,No
B000563,Timothy,Bloodworth,,NC,,1789-03-04,1791-03-03,No
B000563,Timothy,Bloodworth,,NC,Republican,1795-12-07,1801-03-03,No
B000669,Benjamin,Bourne,1755-09-09,RI,Federalist,1789-03-04,1791-03-03,No
B000669,Benjamin,Bourne,1755-09-09,RI,Federalist,1791-10-24,1793-03-02,No
B000669,Benjamin,Bourne,1755-09-09,RI,Federalist,1793-12-02,1795-03-03,No
B000669,Benjamin,Bourne,1755-09-09,RI,Federalist,1795-12-07,1797-03-03,No
B001014,Daniel,Buck,1753-11-09,VT,Federalist,1795-12-07,1797-03-03,No
C000624,Isaac,Coles,1747-03-02,VA,Republican,1789-03-04,1791-03-03,No
C000624,Isaac,Coles,1747-03-02,VA,Republican,1793-12-02,1795-03-03,No
C000624,Isaac,Coles,1747-03-02,VA,Republican,1795-12-07,1797-03-03,No
C000848,Jeremiah,Crabb,,MD,Federalist,1795-12-07,1797-03-03,No
D000178,Henry,Dearborn,1751-02-23,MA,Republican,1793-12-02,1795-03-03,No
D000178,Henry,Dearborn,1751-02-23,MA,Republican,1795-12-07,1797-03-03,No
D000578,Gabriel,Duvall,1752-12-06,MD,Republican,1793-12-02,1795-03-03,No
D000578,Gabriel,Duvall,1752-12-06,MD,Republican,1795-12-07,1797-03-03,No
E000010,Samuel,Earle,1760-11-28,SC,Republican,1795-12-07,1797-03-03,No
G000173,Ezekiel,Gilbert,1756-03-25,NY,Federalist,1793-12-02,1795-03-03,No
G000173,Ezekiel,Gilbert,1756-03-25,NY,Federalist,1795-12-07,1797-03-03,No
G000434,Christopher,Greenup,,KY,Republican,1791-10-24,1793-03-02,No
G000434,Christopher,Greenup,,KY,Republican,1793-12-02,1795-03-03,No
G000434,Christopher,Greenup,,KY,Republican,1795-12-07,1797-03-03,No
G000526,James,Gunn,1753-03-13,GA,Federalist,1789-03-04,1795-03-03,No
G000526,James,Gunn,1753-03-13,GA,Federalist,1795-12-07,1801-03-03,No
H000148,George,Hancock,1754-06-13,VA,,1793-12-02,1795-03-03,No
H000148,George,Hancock,1754-06-13,VA,Federalist,1795-12-07,1797-03-03,No
H000348,John,Hathorn,1749-01-09,NY,Republican,1789-03-04,1791-03-03,No
H000348,John,Hathorn,1749-01-09,NY,Republican,1795-12-07,1797-03-03,No
H000431,John,Heath,1758-05-08,VA,Republican,1793-12-02,1795-03-03,No
H000431,John,Heath,1758-05-08,VA,Republican,1795-12-07,1797-03-03,No
H000488,Thomas,Henderson,1743-08-15,NJ,Federalist,1795-12-07,1797-03-03,No
H000508,John,Henry,,MD,Pro-Administration,1789-03-04,1795-03-03,No
H000508,John,Henry,,MD,Federalist,1795-12-07,1797-12-31,No
L000067,John,Langdon,1741-06-26,NH,Democratic Republican,1789-03-04,1795-03-03,No
L000067,John,Langdon,1741-06-26,NH,Republican,1795-12-07,1801-03-03,No
L000246,George,Leonard,1729-07-04,MA,Federalist,1789-03-04,1791-03-03,No
L000246,George,Leonard,1729-07-04,MA,Federalist,1791-10-24,1793-03-02,No
L000246,George,Leonard,1729-07-04,MA,Federalist,1795-12-07,1797-03-03,No
L000530,William,Lyman,1755-12-07,MA,Republican,1793-12-02,1795-03-03,No
L000530,William,Lyman,1755-12-07,MA,Republican,1795-12-07,1797-03-03,No
M000155,Humphrey,Marshall,Not Found,KY,Federalist,1795-12-07,1801-03-03,No
M001063,Frederick,Muhlenberg,1750-01-01,PA,Pro-administration,1789-03-04,1791-03-03,No
M001063,Frederick,Muhlenberg,1750-01-01,PA,Anti-administration,1791-10-24,1793-03-02,No
M001063,Frederick,Muhlenberg,1750-01-01,PA,Anti-administration,1793-12-02,1795-03-03,No
M001063,Frederick,Muhlenberg,1750-01-01,PA,Republican,1795-12-07,1797-03-03,No
M001119,William,Murray,1760-02-09,MD,Federalist,1791-10-24,1793-03-02,No
M001119,William,Murray,1760-02-09,MD,Federalist,1793-12-02,1795-03-03,No
M001119,William,Murray,1760-02-09,MD,Federalist,1795-12-07,1797-03-03,No
O000101,Alexander,Orr,1761-11-06,KY,Republican,1791-10-24,1793-03-02,No
O000101,Alexander,Orr,1761-11-06,KY,Republican,1793-12-02,1795-03-03,No
O000101,Alexander,Orr,1761-11-06,KY,Republican,1795-12-07,1797-03-03,No
P000018,John,Page,1743-04-17,VA,Republican,1789-03-04,1791-03-03,No
P000018,John,Page,1743-04-17,VA,Republican,1791-10-24,1793-03-02,No
P000018,John,Page,1743-04-17,VA,Republican,1793-12-02,1795-03-03,No
P000018,John,Page,1743-04-17,VA,Republican,1795-12-07,1797-03-03,No
P000026,Elijah,Paine,1757-01-21,VT,Federalist,1795-12-07,1801-03-03,No
P000108,John,Patten,1746-04-26,DE,Republican,1793-12-02,1795-03-03,No
P000108,John,Patten,1746-04-26,DE,Republican,1795-12-07,1797-03-03,No
P000514,Francis,Preston,1765-08-02,VA,Republican,1793-12-02,1795-03-03,No
P000514,Francis,Preston,1765-08-02,VA,Republican,1795-12-07,1797-03-03,No
R000092,Jacob,Read,,SC,Federalist,1795-12-07,1801-03-03,No
R000215,John,Richards,1753-04-18,PA,Republican,1795-12-07,1797-03-03,No
R000548,Robert,Rutherford,1728-10-20,VA,Republican,1793-12-02,1795-03-03,No
R000548,Robert,Rutherford,1728-10-20,VA,Republican,1795-12-07,1797-03-03,No
S000339,John,Sherburne,,NH,Republican,1793-12-02,1795-03-03,No
S000339,John,Sherburne,,NH,Republican,1795-12-07,1797-03-03,No
S000555,Isaac,Smith,,NJ,Federalist,1795-12-07,1797-03-03,No
S000753,Thomas,Sprigg,,MD,Republican,1793-12-02,1795-03-03,No
S000753,Thomas,Sprigg,,MD,Republican,1795-12-07,1797-03-03,No
S001029,William,Strudwick,,NC,Federalist,1795-12-07,1797-03-03,No
S001119,Zephaniah,Swift,1759-02-27,CT,Federalist,1793-12-02,1795-03-03,No
S001119,Zephaniah,Swift,1759-02-27,CT,Federalist,1795-12-07,1797-03-03,No
T000050,Absalom,Tatom,Not Found,NC,Republican,1795-12-07,1797-03-03,No
T000389,Jonathan,Trumbull,1740-03-26,CT,Federalist,1789-03-04,1791-03-03,No
T000389,Jonathan,Trumbull,1740-03-26,CT,Federalist,1791-10-24,1793-03-02,No
T000389,Jonathan,Trumbull,1740-03-26,CT,Federalist,1793-12-02,1795-03-03,No
T000389,Jonathan,Trumbull,1740-03-26,CT,Federalist,1795-12-07,1797-03-03,No
W000377,James,White,1749-06-16,TN,,1793-12-02,1795-03-03,No
W000377,James,White,1749-06-16,TN,,1795-12-07,1797-03-03,No
B000570,William,Blount,1749-03-26,TN,Republican,1796-01-01,1797-12-31,No
G000286,Benjamin,Goodhue,1748-09-20,MA,Federalist,1789-03-04,1791-03-03,No
G000286,Benjamin,Goodhue,1748-09-20,MA,Federalist,1791-10-24,1793-03-02,No
G000286,Benjamin,Goodhue,1748-09-20,MA,Federalist,1793-12-02,1795-03-03,No
G000286,Benjamin,Goodhue,1748-09-20,MA,Federalist,1796-01-01,1801-03-03,No
H000841,John,Howard,1752-06-04,MD,Federalist,1796-01-01,1803-03-03,No
H000982,John,Hunter,,SC,,1793-12-02,1795-03-03,No
H000982,John,Hunter,,SC,Republican,1796-01-01,1799-03-03,No
L000120,John,Laurance,,NY,,1789-03-04,1791-03-03,No
L000120,John,Laurance,,NY,,1791-10-24,1793-03-02,No
L000120,John,Laurance,,NY,Federalist,1796-01-01,1801-03-03,No
T000052,Josiah,Tattnall,,GA,Republican,1796-01-01,1799-03-03,No
A000129,John,Allen,1763-06-12,CT,Federalist,1797-05-15,1799-03-03,No
B000396,Lemuel,Benton,Not Found,SC,Republican,1793-12-02,1795-03-03,No
B000396,Lemuel,Benton,Not Found,SC,Republican,1795-12-07,1797-03-03,No
B000396,Lemuel,Benton,Not Found,SC,Republican,1797-05-15,1799-03-03,Yes
B000735,Theophilus,Bradbury,1739-11-13,MA,Federalist,1795-12-07,1797-03-03,No
B000735,Theophilus,Bradbury,1739-11-13,MA,Federalist,1797-05-15,1799-03-03,Yes
B000875,David,Brooks,,NY,Federalist,1797-05-15,1799-03-03,No
B000991,Nathan,Bryan,,NC,Republican,1795-12-07,1797-03-03,No
B000991,Nathan,Bryan,,NC,Republican,1797-05-15,1799-03-03,Yes
B001053,Stephen,Bullock,1735-10-10,MA,Federalist,1797-05-15,1799-03-03,No
B001081,Dempsey,Burges,Not Found,NC,Republican,1795-12-07,1797-03-03,No
B001081,Dempsey,Burges,Not Found,NC,Republican,1797-05-15,1799-03-03,Yes
C000313,John,Chapman,1740-10-18,PA,Federalist,1797-05-15,1799-03-03,No
C000369,Nathaniel,Chipman,1752-11-15,VT,Federalist,1797-05-15,1803-03-03,No
C000563,James,Cochran,1769-02-11,NY,Federalist,1797-05-15,1799-03-03,No
C000600,Joshua,Coit,1758-10-07,CT,Federalist,1793-12-02,1795-03-03,No
C000600,Joshua,Coit,1758-10-07,CT,Federalist,1795-12-07,1797-03-03,No
C000600,Joshua,Coit,1758-10-07,CT,Federalist,1797-05-15,1799-03-03,Yes
D000073,James,Davenport,1758-10-12,CT,Federalist,1795-12-07,1797-03-03,No
D000073,James,Davenport,1758-10-12,CT,Federalist,1797-05-15,1799-03-03,Yes
E000089,George,Ege,1748-03-09,PA,Federalist,1795-12-07,1797-03-03,No
E000089,George,Ege,1748-03-09,PA,Federalist,1797-05-15,1799-03-03,Yes
F000313,Theodore,Foster,1752-04-29,RI,Federalist,1790-01-01,1797-03-03,No
F000313,Theodore,Foster,1752-04-29,RI,Republican,1797-05-15,1803-03-03,Yes
F000365,Nathaniel,Freeman,1766-05-01,MA,Federalist,1795-12-07,1797-03-03,No
F000365,Nathaniel,Freeman,1766-05-01,MA,Republican,1797-05-15,1799-03-03,Yes
H000266,Carter,Harrison,Not Found,VA,Anti-Administration,1793-12-02,1795-03-03,No
H000266,Carter,Harrison,Not Found,VA,Republican,1795-12-07,1797-03-03,No
H000266,Carter,Harrison,Not Found,VA,Republican,1797-05-15,1799-03-03,Yes
H000803,Hezekiah,Hosmer,1765-06-07,NY,Federalist,1797-05-15,1799-03-03,No
L000115,Henry,Latimer,1752-04-24,DE,Federalist,1793-12-02,1795-03-03,No
L000115,Henry,Latimer,1752-04-24,DE,Federalist,1795-12-07,1797-03-03,No
L000115,Henry,Latimer,1752-04-24,DE,Federalist,1797-05-15,1801-12-31,Yes
L000377,James,Lloyd,,MD,Federalist,1797-05-15,1801-03-03,No
L000389,Matthew,Locke,,NC,Republican,1793-12-02,1795-03-03,No
L000389,Matthew,Locke,,NC,Republican,1795-12-07,1797-03-03,No
L000389,Matthew,Locke,,NC,Republican,1797-05-15,1799-03-03,Yes
M000013,James,Machir,,VA,Federalist,1797-05-15,1799-03-03,No
M000226,Stevens,Mason,1760-12-29,VA,Republican,1794-01-01,1797-03-03,No
M000226,Stevens,Mason,1760-12-29,VA,Republican,1797-05-15,1803-03-03,Yes
M000256,William,Matthews,1755-04-26,MD,Federalist,1797-05-15,1799-03-03,No
M000336,Blair,McClenachan,Not Found,PA,Republican,1797-05-15,1799-03-03,No
M000423,Joseph,McDowell,1756-02-15,NC,Republican,1797-05-15,1799-03-03,No
M000946,Daniel,Morgan,,VA,Federalist,1797-05-15,1799-03-03,No
P000058,Isaac,Parker,1768-06-17,MA,Federalist,1797-05-15,1799-03-03,No
R000448,James,Ross,1762-07-12,PA,Federalist,1794-01-01,1797-03-03,No
R000448,James,Ross,1762-07-12,PA,Federalist,1797-05-15,1803-03-03,Yes
R000550,John,Rutherfurd,1760-09-20,NJ,Federalist,1791-10-24,1797-03-03,No
R000550,John,Rutherfurd,1760-09-20,NJ,Federalist,1797-05-15,1799-03-03,Yes
S000154,Philip,Schuyler,1733-11-20,NY,Pro-Administration,1789-03-04,1791-03-03,No
S000154,Philip,Schuyler,1733-11-20,NY,Federalist,1797-05-15,1799-03-03,No
S000448,Thomas,Sinnickson,1744-12-21,NJ,Federalist,1789-03-04,1791-03-03,No
S000448,Thomas,Sinnickson,1744-12-21,NJ,Federalist,1797-05-15,1799-03-03,No
S000460,Samuel,Sitgreaves,1764-03-16,PA,Federalist,1795-12-07,1797-03-03,No
S000460,Samuel,Sitgreaves,1764-03-16,PA,Federalist,1797-05-15,1799-03-03,Yes
S000563,Jeremiah,Smith,1759-11-29,NH,Federalist,1791-10-24,1793-03-02,No
S000563,Jeremiah,Smith,1759-11-29,NH,Federalist,1793-12-02,1795-03-03,No
S000563,Jeremiah,Smith,1759-11-29,NH,Federalist,1795-12-07,1797-03-03,No
S000563,Jeremiah,Smith,1759-11-29,NH,Federalist,1797-05-15,1799-03-03,Yes
S000595,Nathaniel,Smith,1762-01-06,CT,Federalist,1795-12-07,1797-03-03,No
S000595,Nathaniel,Smith,1762-01-06,CT,Federalist,1797-05-15,1799-03-03,Yes
S000625,William,Smith,1751-09-20,SC,Republican,1797-05-15,1799-03-03,No
S000633,William,Smith,,SC,Federalist,1789-03-04,1791-03-03,No
S000633,William,Smith,,SC,Federalist,1791-10-24,1793-03-02,No
S000633,William,Smith,,SC,Federalist,1793-12-02,1795-03-03,No
S000633,William,Smith,,SC,Federalist,1795-12-07,1797-03-03,No
S000633,William,Smith,,SC,Federalist,1797-05-15,1799-03-03,Yes
S000743,Peleg,Sprague,1756-12-10,NH,Federalist,1797-05-15,1799-03-03,No
S001095,John,Swanwick,,PA,Republican,1795-12-07,1797-03-03,No
S001095,John,Swanwick,,PA,Republican,1797-05-15,1799-03-03,Yes
T000232,Mark,Thomson,,NJ,Federalist,1795-12-07,1797-03-03,No
T000232,Mark,Thomson,,NJ,Federalist,1797-05-15,1799-03-03,Yes
V000012,John,Van Alen,,NY,Federalist,1793-12-02,1795-03-03,No
V000012,John,Van Alen,,NY,Federalist,1795-12-07,1797-03-03,No
V000012,John,Van Alen,,NY,Federalist,1797-05-15,1799-03-03,Yes
W000513,John,Williams,,NY,Federalist,1795-12-07,1797-03-03,No
W000513,John,Williams,,NY,Federalist,1797-05-15,1799-03-03,Yes
C000497,Joshua,Clayton,1744-07-20,DE,Federalist,1798-01-01,1799-03-03,No
H000661,John,Hobart,1738-05-06,NY,Federalist,1798-01-01,1799-03-03,No
N000142,William,North,,NY,Federalist,1798-01-01,1799-03-03,No
W000202,James,Watson,1750-04-06,NY,Federalist,1798-01-01,1801-03-03,No
B000198,Bailey,Bartlett,1750-01-29,MA,Federalist,1797-05-15,1799-03-03,No
B000198,Bailey,Bartlett,1750-01-29,MA,Federalist,1799-12-02,1801-03-03,No
B000731,Jonathan,Brace,1754-11-12,CT,Federalist,1797-05-15,1799-03-03,No
B000731,Jonathan,Brace,1754-11-12,CT,Federalist,1799-12-02,1801-03-03,No
B000927,John,Brown,1736-01-27,RI,Federalist,1799-12-02,1801-03-03,No
B000929,John,Brown,1757-09-12,KY,,1789-03-04,1791-03-03,No
B000929,John,Brown,1757-09-12,KY,Republican,1792-01-01,1799-03-03,No
B000929,John,Brown,1757-09-12,KY,Republican,1799-12-02,1805-03-03,No
C000382,Gabriel,Christie,1775-09-12,MD,Republican,1793-12-02,1795-03-03,No
C000382,Gabriel,Christie,1775-09-12,MD,Republican,1795-12-07,1797-03-03,No
C000382,Gabriel,Christie,1775-09-12,MD,Republican,1799-12-02,1801-03-03,No
C000572,William,Cocke,,TN,Republican,1796-01-01,1797-03-03,No
C000572,William,Cocke,,TN,Republican,1799-12-02,1805-03-03,No
C000764,William,Cooper,1754-12-02,NY,Federalist,1795-12-07,1797-03-03,No
C000764,William,Cooper,1754-12-02,NY,Federalist,1799-12-02,1801-03-03,No
C000863,William,Craik,1761-10-31,MD,Federalist,1795-12-07,1797-03-03,No
C000863,William,Craik,1761-10-31,MD,Federalist,1797-05-15,1799-03-03,Yes
C000863,William,Craik,1761-10-31,MD,Federalist,1799-12-02,1801-03-03,No
D000069,Franklin,Davenport,,NJ,Federalist,1798-01-01,1799-12-31,No
