bioguide,firstname,lastname,birthday,state,party,start_date,end_date
M000639,Robert,Menéndez,1954-01-01,NJ,Democrat,2006-01-18,2006-12-09,Yes
M000639,Robert,Menéndez,1954-01-01,NJ,Democrat,2007-01-04,2013-01-03,Yes
M000639,Robert,Menéndez,1954-01-01,NJ,Democrat,2013-01-03,2019-01-03,Yes
N000032,Bill,Nelson,1942-09-29,FL,Democrat,1979-01-15,1980-12-16,No
N000032,Bill,Nelson,1942-09-29,FL,Democrat,1981-01-05,1982-12-23,Yes
N000032,Bill,Nelson,1942-09-29,FL,Democrat,1983-01-03,1984-10-12,Yes
N000032,Bill,Nelson,1942-09-29,FL,Democrat,1985-01-03,1986-10-18,Yes
N000032,Bill,Nelson,1942-09-29,FL,Democrat,1987-01-06,1988-10-22,Yes
N000032,Bill,Nelson,1942-09-29,FL,Democrat,1989-01-03,1990-10-28,Yes
N000032,Bill,Nelson,1942-09-29,FL,Democrat,2001-01-03,2006-12-09,No
N000032,Bill,Nelson,1942-09-29,FL,Democrat,2007-01-04,2013-01-03,Yes
N000032,Bill,Nelson,1942-09-29,FL,Democrat,2013-01-03,2019-01-03,Yes
S000033,Bernard,Sanders,1941-09-08,VT,Independent,1991-01-03,1992-10-09,No
S000033,Bernard,Sanders,1941-09-08,VT,Independent,1993-01-05,1994-12-01,Yes
S000033,Bernard,Sanders,1941-09-08,VT,Independent,1995-01-04,1996-10-04,Yes
S000033,Bernard,Sanders,1941-09-08,VT,Independent,1997-01-07,1998-12-19,Yes
S000033,Bernard,Sanders,1941-09-08,VT,Independent,1999-01-06,2000-12-15,Yes
S000033,Bernard,Sanders,1941-09-08,VT,Independent,2001-01-03,2002-11-22,Yes
S000033,Bernard,Sanders,1941-09-08,VT,Independent,2003-01-07,2004-12-09,Yes
S000033,Bernard,Sanders,1941-09-08,VT,Independent,2005-01-04,2006-12-09,Yes
S000033,Bernard,Sanders,1941-09-08,VT,Independent,2007-01-04,2013-01-03,Yes
S000033,Bernard,Sanders,1941-09-08,VT,Independent,2013-01-03,2019-01-03,Yes
S000770,Debbie,Stabenow,1950-04-29,MI,Democrat,1997-01-07,1998-12-19,No
S000770,Debbie,Stabenow,1950-04-29,MI,Democrat,1999-01-06,2000-12-15,Yes
S000770,Debbie,Stabenow,1950-04-29,MI,Democrat,2001-01-03,2006-12-09,Yes
S000770,Debbie,Stabenow,1950-04-29,MI,Democrat,2007-01-04,2013-01-03,Yes
S000770,Debbie,Stabenow,1950-04-29,MI,Democrat,2013-01-03,2019-01-03,Yes
T000464,Jon,Tester,1956-08-21,MT,Democrat,2007-01-04,2013-01-03,No
T000464,Jon,Tester,1956-08-21,MT,Democrat,2013-01-03,2019-01-03,Yes
W000802,Sheldon,Whitehouse,1955-10-20,RI,Democrat,2007-01-04,2013-01-03,No
W000802,Sheldon,Whitehouse,1955-10-20,RI,Democrat,2013-01-03,2019-01-03,Yes
B001261,John,Barrasso,1952-07-21,WY,Republican,2007-06-25,2013-01-03,No
B001261,John,Barrasso,1952-07-21,WY,Republican,2013-01-03,2019-01-03,Yes
W000437,Roger,Wicker,1951-07-05,MS,Republican,1995-01-04,1996-10-04,No
W000437,Roger,Wicker,1951-07-05,MS,Republican,1997-01-07,1998-12-19,Yes
W000437,Roger,Wicker,1951-07-05,MS,Republican,1999-01-06,2000-12-15,Yes
W000437,Roger,Wicker,1951-07-05,MS,Republican,2001-01-03,2002-11-22,Yes
W000437,Roger,Wicker,1951-07-05,MS,Republican,2003-01-07,2004-12-09,Yes
W000437,Roger,Wicker,1951-07-05,MS,Republican,2005-01-04,2006-12-09,Yes
W000437,Roger,Wicker,1951-07-05,MS,Republican,2007-01-04,2007-12-31,Yes
W000437,Roger,Wicker,1951-07-05,MS,Republican,2007-12-31,2013-01-03,Yes
W000437,Roger,Wicker,1951-07-05,MS,Republican,2013-01-03,2019-01-03,Yes
A000360,Lamar,Alexander,1940-07-03,TN,Republican,2003-01-07,2009-01-03,No
A000360,Lamar,Alexander,1940-07-03,TN,Republican,2009-01-06,2015-01-03,Yes
B001265,Mark,Begich,1962-03-30,AK,Democrat,2009-01-06,2015-01-03,No
C000286,Saxby,Chambliss,1943-11-10,GA,Republican,1995-01-04,1996-10-04,No
C000286,Saxby,Chambliss,1943-11-10,GA,Republican,1997-01-07,1998-12-19,Yes
C000286,Saxby,Chambliss,1943-11-10,GA,Republican,1999-01-06,2000-12-15,Yes
C000286,Saxby,Chambliss,1943-11-10,GA,Republican,2001-01-03,2002-11-22,Yes
C000286,Saxby,Chambliss,1943-11-10,GA,Republican,2003-01-07,2009-01-03,Yes
C000286,Saxby,Chambliss,1943-11-10,GA,Republican,2009-01-06,2015-01-03,Yes
C000567,Thad,Cochran,1937-12-07,MS,Republican,1973-01-03,1974-12-20,No
C000567,Thad,Cochran,1937-12-07,MS,Republican,1975-01-14,1976-10-01,Yes
C000567,Thad,Cochran,1937-12-07,MS,Republican,1977-01-04,1978-10-15,Yes
C000567,Thad,Cochran,1937-12-07,MS,Republican,1978-01-01,1978-10-15,Yes
C000567,Thad,Cochran,1937-12-07,MS,Republican,1979-01-15,1984-10-12,Yes
C000567,Thad,Cochran,1937-12-07,MS,Republican,1985-01-03,1990-10-28,Yes
C000567,Thad,Cochran,1937-12-07,MS,Republican,1991-01-03,1996-10-04,Yes
C000567,Thad,Cochran,1937-12-07,MS,Republican,1997-01-07,2002-11-22,Yes
C000567,Thad,Cochran,1937-12-07,MS,Republican,2003-01-07,2009-01-03,Yes
C000567,Thad,Cochran,1937-12-07,MS,Republican,2009-01-06,2015-01-03,Yes
C001035,Susan,Collins,1952-12-07,ME,Republican,1997-01-07,2002-11-22,No
C001035,Susan,Collins,1952-12-07,ME,Republican,2003-01-07,2009-01-03,Yes
C001035,Susan,Collins,1952-12-07,ME,Republican,2009-01-06,2015-01-03,Yes
C001056,John,Cornyn,1952-02-02,TX,Republican,2002-01-01,2002-11-22,No
C001056,John,Cornyn,1952-02-02,TX,Republican,2003-01-07,2009-01-03,Yes
C001056,John,Cornyn,1952-02-02,TX,Republican,2009-01-06,2015-01-03,Yes
D000563,Richard,Durbin,1944-11-21,IL,Democrat,1983-01-03,1984-10-12,No
D000563,Richard,Durbin,1944-11-21,IL,Democrat,1985-01-03,1986-10-18,Yes
D000563,Richard,Durbin,1944-11-21,IL,Democrat,1987-01-06,1988-10-22,Yes
D000563,Richard,Durbin,1944-11-21,IL,Democrat,1989-01-03,1990-10-28,Yes
D000563,Richard,Durbin,1944-11-21,IL,Democrat,1991-01-03,1992-10-09,Yes
D000563,Richard,Durbin,1944-11-21,IL,Democrat,1993-01-05,1994-12-01,Yes
D000563,Richard,Durbin,1944-11-21,IL,Democrat,1995-01-04,1996-10-04,Yes
D000563,Richard,Durbin,1944-11-21,IL,Democrat,1997-01-07,2002-11-22,Yes
D000563,Richard,Durbin,1944-11-21,IL,Democrat,2003-01-07,2009-01-03,Yes
D000563,Richard,Durbin,1944-11-21,IL,Democrat,2009-01-06,2015-01-03,Yes
E000285,Michael,Enzi,1944-02-01,WY,Republican,1997-01-07,2002-11-22,No
E000285,Michael,Enzi,1944-02-01,WY,Republican,2003-01-07,2009-01-03,Yes
E000285,Michael,Enzi,1944-02-01,WY,Republican,2009-01-06,2015-01-03,Yes
G000359,Lindsey,Graham,1955-07-09,SC,Republican,1995-01-04,1996-10-04,No
G000359,Lindsey,Graham,1955-07-09,SC,Republican,1997-01-07,1998-12-19,Yes
G000359,Lindsey,Graham,1955-07-09,SC,Republican,1999-01-06,2000-12-15,Yes
G000359,Lindsey,Graham,1955-07-09,SC,Republican,2001-01-03,2002-11-22,Yes
G000359,Lindsey,Graham,1955-07-09,SC,Republican,2003-01-07,2009-01-03,Yes
G000359,Lindsey,Graham,1955-07-09,SC,Republican,2009-01-06,2015-01-03,Yes
H001049,Kay,Hagan,1953-05-26,NC,Democrat,2009-01-06,2015-01-03,No
H000206,Thomas,Harkin,1939-11-19,IA,Democrat,1975-01-14,1976-10-01,No
H000206,Thomas,Harkin,1939-11-19,IA,Democrat,1977-01-04,1978-10-15,Yes
H000206,Thomas,Harkin,1939-11-19,IA,Democrat,1979-01-15,1980-12-16,Yes
H000206,Thomas,Harkin,1939-11-19,IA,Democrat,1981-01-05,1982-12-23,Yes
H000206,Thomas,Harkin,1939-11-19,IA,Democrat,1983-01-03,1984-10-12,Yes
H000206,Thomas,Harkin,1939-11-19,IA,Democrat,1985-01-03,1990-10-28,Yes
H000206,Thomas,Harkin,1939-11-19,IA,Democrat,1991-01-03,1996-10-04,Yes
H000206,Thomas,Harkin,1939-11-19,IA,Democrat,1997-01-07,2002-11-22,Yes
H000206,Thomas,Harkin,1939-11-19,IA,Democrat,2003-01-07,2009-01-03,Yes
H000206,Thomas,Harkin,1939-11-19,IA,Democrat,2009-01-06,2015-01-03,Yes
I000024,James,Inhofe,1934-11-17,OK,Republican,1987-01-06,1988-10-22,No
I000024,James,Inhofe,1934-11-17,OK,Republican,1989-01-03,1990-10-28,Yes
I000024,James,Inhofe,1934-11-17,OK,Republican,1991-01-03,1992-10-09,Yes
I000024,James,Inhofe,1934-11-17,OK,Republican,1993-01-05,1994-11-15,Yes
I000024,James,Inhofe,1934-11-17,OK,Republican,1994-01-01,1996-10-04,Yes
I000024,James,Inhofe,1934-11-17,OK,Republican,1997-01-07,2002-11-22,Yes
I000024,James,Inhofe,1934-11-17,OK,Republican,2003-01-07,2009-01-03,Yes
I000024,James,Inhofe,1934-11-17,OK,Republican,2009-01-06,2015-01-03,Yes
J000291,Mike,Johanns,1950-06-18,NE,Republican,2009-01-06,2015-01-03,No
J000177,Tim,Johnson,1946-12-28,SD,Democrat,1987-01-06,1988-10-22,No
J000177,Tim,Johnson,1946-12-28,SD,Democrat,1989-01-03,1990-10-28,Yes
J000177,Tim,Johnson,1946-12-28,SD,Democrat,1991-01-03,1992-10-09,Yes
J000177,Tim,Johnson,1946-12-28,SD,Democrat,1993-01-05,1994-12-01,Yes
J000177,Tim,Johnson,1946-12-28,SD,Democrat,1995-01-04,1996-10-04,Yes
J000177,Tim,Johnson,1946-12-28,SD,Democrat,1997-01-07,2002-11-22,Yes
J000177,Tim,Johnson,1946-12-28,SD,Democrat,2003-01-07,2009-01-03,Yes
J000177,Tim,Johnson,1946-12-28,SD,Democrat,2009-01-06,2015-01-03,Yes
L000550,Mary,Landrieu,1955-11-23,LA,Democrat,1997-01-07,2002-11-22,No
L000550,Mary,Landrieu,1955-11-23,LA,Democrat,2003-01-07,2009-01-03,Yes
L000550,Mary,Landrieu,1955-11-23,LA,Democrat,2009-01-06,2015-01-03,Yes
L000261,Carl,Levin,1934-06-28,MI,Democrat,1979-01-15,1984-10-12,No
L000261,Carl,Levin,1934-06-28,MI,Democrat,1985-01-03,1990-10-28,Yes
L000261,Carl,Levin,1934-06-28,MI,Democrat,1991-01-03,1996-10-04,Yes
L000261,Carl,Levin,1934-06-28,MI,Democrat,1997-01-07,2002-11-22,Yes
L000261,Carl,Levin,1934-06-28,MI,Democrat,2003-01-07,2009-01-03,Yes
L000261,Carl,Levin,1934-06-28,MI,Democrat,2009-01-06,2015-01-03,Yes
M000355,Mitch,McConnell,1942-02-20,KY,Republican,1985-01-03,1990-10-28,No
M000355,Mitch,McConnell,1942-02-20,KY,Republican,1991-01-03,1996-10-04,Yes
M000355,Mitch,McConnell,1942-02-20,KY,Republican,1997-01-07,2002-11-22,Yes
M000355,Mitch,McConnell,1942-02-20,KY,Republican,2003-01-07,2009-01-03,Yes
M000355,Mitch,McConnell,1942-02-20,KY,Republican,2009-01-06,2015-01-03,Yes
M001176,Jeff,Merkley,1956-10-24,OR,Democrat,2009-01-06,2015-01-03,No
P000590,Mark,Pryor,1963-01-10,AR,Democrat,2003-01-07,2009-01-03,No
P000590,Mark,Pryor,1963-01-10,AR,Democrat,2009-01-06,2015-01-03,Yes
R000122,John,Reed,1949-11-12,RI,Democrat,1991-01-03,1992-10-09,No
R000122,John,Reed,1949-11-12,RI,Democrat,1993-01-05,1994-12-01,Yes
R000122,John,Reed,1949-11-12,RI,Democrat,1995-01-04,1996-10-04,Yes
R000122,John,Reed,1949-11-12,RI,Democrat,1997-01-07,2002-11-22,Yes
R000122,John,Reed,1949-11-12,RI,Democrat,2003-01-07,2009-01-03,Yes
R000122,John,Reed,1949-11-12,RI,Democrat,2009-01-06,2015-01-03,Yes
R000584,James,Risch,1943-05-03,ID,Republican,2009-01-06,2015-01-03,No
R000307,Pat,Roberts,1936-04-20,KS,Republican,1981-01-05,1982-12-23,No
R000307,Pat,Roberts,1936-04-20,KS,Republican,1983-01-03,1984-10-12,Yes
R000307,Pat,Roberts,1936-04-20,KS,Republican,1985-01-03,1986-10-18,Yes
R000307,Pat,Roberts,1936-04-20,KS,Republican,1987-01-06,1988-10-22,Yes
R000307,Pat,Roberts,1936-04-20,KS,Republican,1989-01-03,1990-10-28,Yes
R000307,Pat,Roberts,1936-04-20,KS,Republican,1991-01-03,1992-10-09,Yes
R000307,Pat,Roberts,1936-04-20,KS,Republican,1993-01-05,1994-12-01,Yes
R000307,Pat,Roberts,1936-04-20,KS,Republican,1995-01-04,1996-10-04,Yes
R000307,Pat,Roberts,1936-04-20,KS,Republican,1997-01-07,2002-11-22,Yes
R000307,Pat,Roberts,1936-04-20,KS,Republican,2003-01-07,2009-01-03,Yes
R000307,Pat,Roberts,1936-04-20,KS,Republican,2009-01-06,2015-01-03,Yes
R000361,John,Rockefeller,1937-06-18,WV,Democrat,1985-01-03,1990-10-28,No
R000361,John,Rockefeller,1937-06-18,WV,Democrat,1991-01-03,1996-10-04,Yes
R000361,John,Rockefeller,1937-06-18,WV,Democrat,1997-01-07,2002-11-22,Yes
R000361,John,Rockefeller,1937-06-18,WV,Democrat,2003-01-07,2009-01-03,Yes
R000361,John,Rockefeller,1937-06-18,WV,Democrat,2009-01-06,2015-01-03,Yes
S001141,Jefferson,Sessions,1946-12-24,AL,Republican,1997-01-07,2002-11-22,No
S001141,Jefferson,Sessions,1946-12-24,AL,Republican,2003-01-07,2009-01-03,Yes
S001141,Jefferson,Sessions,1946-12-24,AL,Republican,2009-01-06,2015-01-03,Yes
S001181,Jeanne,Shaheen,1947-01-28,NH,Democrat,2009-01-06,2015-01-03,No
U000038,Mark,Udall,1950-07-18,CO,Democrat,1999-01-06,2000-12-15,No
U000038,Mark,Udall,1950-07-18,CO,Democrat,2001-01-03,2002-11-22,Yes
U000038,Mark,Udall,1950-07-18,CO,Democrat,2003-01-07,2004-12-09,Yes
U000038,Mark,Udall,1950-07-18,CO,Democrat,2005-01-04,2006-12-09,Yes
U000038,Mark,Udall,1950-07-18,CO,Democrat,2007-01-04,2009-01-03,Yes
U000038,Mark,Udall,1950-07-18,CO,Democrat,2009-01-06,2015-01-03,Yes
U000039,Tom,Udall,1948-05-18,NM,Democrat,1999-01-06,2000-12-15,No
U000039,Tom,Udall,1948-05-18,NM,Democrat,2001-01-03,2002-11-22,Yes
U000039,Tom,Udall,1948-05-18,NM,Democrat,2003-01-07,2004-12-09,Yes
U000039,Tom,Udall,1948-05-18,NM,Democrat,2005-01-04,2006-12-09,Yes
U000039,Tom,Udall,1948-05-18,NM,Democrat,2007-01-04,2009-01-03,Yes
U000039,Tom,Udall,1948-05-18,NM,Democrat,2009-01-06,2015-01-03,Yes
W000805,Mark,Warner,1954-12-15,VA,Democrat,2009-01-06,2015-01-03,No
G000555,Kirsten,Gillibrand,1966-12-09,NY,Democrat,2007-01-04,2009-01-03,No
G000555,Kirsten,Gillibrand,1966-12-09,NY,Democrat,2009-01-06,2009-01-26,Yes
G000555,Kirsten,Gillibrand,1966-12-09,NY,Democrat,2009-01-27,2013-01-03,Yes
G000555,Kirsten,Gillibrand,1966-12-09,NY,Democrat,2013-01-03,2019-01-03,Yes
F000457,Alan,Franken,1951-05-21,MN,Democrat,2009-07-07,2015-01-03,No
C001088,Chris,Coons,1963-09-09,DE,Democrat,2010-11-15,2015-01-03,No
M001183,Joe,Manchin,1947-08-24,WV,Democrat,2010-11-15,2013-01-03,No
M001183,Joe,Manchin,1947-08-24,WV,Democrat,2013-01-03,2019-01-03,Yes
A000055,Robert,Aderholt,1965-07-22,AL,Republican,1997-01-07,1998-12-19,No
A000055,Robert,Aderholt,1965-07-22,AL,Republican,1999-01-06,2000-12-15,Yes
A000055,Robert,Aderholt,1965-07-22,AL,Republican,2001-01-03,2002-11-22,Yes
A000055,Robert,Aderholt,1965-07-22,AL,Republican,2003-01-07,2004-12-09,Yes
A000055,Robert,Aderholt,1965-07-22,AL,Republican,2005-01-04,2006-12-09,Yes
A000055,Robert,Aderholt,1965-07-22,AL,Republican,2007-01-04,2009-01-03,Yes
A000055,Robert,Aderholt,1965-07-22,AL,Republican,2009-01-06,2010-12-22,Yes
A000055,Robert,Aderholt,1965-07-22,AL,Republican,2011-01-05,2013-01-03,Yes
A000055,Robert,Aderholt,1965-07-22,AL,Republican,2013-01-03,2015-01-03,Yes
A000367,Justin,Amash,1980-04-18,MI,Republican,2011-01-05,2013-01-03,No
A000367,Justin,Amash,1980-04-18,MI,Republican,2013-01-03,2015-01-03,Yes
A000368,Kelly,Ayotte,1968-06-27,NH,Republican,2011-01-05,2017-01-03,No
B001256,Michele,Bachmann,1956-04-06,MN,Republican,2007-01-04,2009-01-03,No
B001256,Michele,Bachmann,1956-04-06,MN,Republican,2009-01-06,2010-12-22,Yes
B001256,Michele,Bachmann,1956-04-06,MN,Republican,2011-01-05,2013-01-03,Yes
B001256,Michele,Bachmann,1956-04-06,MN,Republican,2013-01-03,2015-01-03,Yes
B000013,Spencer,Bachus,1947-12-28,AL,Republican,1993-01-05,1994-12-01,No
B000013,Spencer,Bachus,1947-12-28,AL,Republican,1995-01-04,1996-10-04,Yes
B000013,Spencer,Bachus,1947-12-28,AL,Republican,1997-01-07,1998-12-19,Yes
B000013,Spencer,Bachus,1947-12-28,AL,Republican,1999-01-06,2000-12-15,Yes
B000013,Spencer,Bachus,1947-12-28,AL,Republican,2001-01-03,2002-11-22,Yes
B000013,Spencer,Bachus,1947-12-28,AL,Republican,2003-01-07,2004-12-09,Yes
B000013,Spencer,Bachus,1947-12-28,AL,Republican,2005-01-04,2006-12-09,Yes
B000013,Spencer,Bachus,1947-12-28,AL,Republican,2007-01-04,2009-01-03,Yes
B000013,Spencer,Bachus,1947-12-28,AL,Republican,2009-01-06,2010-12-22,Yes
B000013,Spencer,Bachus,1947-12-28,AL,Republican,2011-01-05,2013-01-03,Yes
B000013,Spencer,Bachus,1947-12-28,AL,Republican,2013-01-03,2015-01-03,Yes
B001230,Tammy,Baldwin,1962-02-11,WI,Democrat,1999-01-06,2000-12-15,No
B001230,Tammy,Baldwin,1962-02-11,WI,Democrat,2001-01-03,2002-11-22,Yes
B001230,Tammy,Baldwin,1962-02-11,WI,Democrat,2003-01-07,2004-12-09,Yes
B001230,Tammy,Baldwin,1962-02-11,WI,Democrat,2005-01-04,2006-12-09,Yes
B001230,Tammy,Baldwin,1962-02-11,WI,Democrat,2007-01-04,2009-01-03,Yes
B001230,Tammy,Baldwin,1962-02-11,WI,Democrat,2009-01-06,2010-12-22,Yes
B001230,Tammy,Baldwin,1962-02-11,WI,Democrat,2011-01-05,2013-01-03,Yes
B001230,Tammy,Baldwin,1962-02-11,WI,Democrat,2013-01-03,2019-01-03,Yes
B001269,Lou,Barletta,1956-01-28,PA,Republican,2011-01-05,2013-01-03,No
B001269,Lou,Barletta,1956-01-28,PA,Republican,2013-01-03,2015-01-03,Yes
B001252,John,Barrow,1955-10-31,GA,Democrat,2005-01-04,2006-12-09,No
B001252,John,Barrow,1955-10-31,GA,Democrat,2007-01-04,2009-01-03,Yes
B001252,John,Barrow,1955-10-31,GA,Democrat,2009-01-06,2010-12-22,Yes
B001252,John,Barrow,1955-10-31,GA,Democrat,2011-01-05,2013-01-03,Yes
B001252,John,Barrow,1955-10-31,GA,Democrat,2013-01-03,2015-01-03,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,1985-01-03,1986-10-18,No
B000213,Joe,Barton,1949-09-15,TX,Republican,1987-01-06,1988-10-22,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,1989-01-03,1990-10-28,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,1991-01-03,1992-10-09,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,1993-01-05,1994-12-01,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,1995-01-04,1996-10-04,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,1997-01-07,1998-12-19,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,1999-01-06,2000-12-15,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,2001-01-03,2002-11-22,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,2003-01-07,2004-12-09,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,2005-01-04,2006-12-09,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,2007-01-04,2009-01-03,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,2009-01-06,2010-12-22,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,2011-01-05,2013-01-03,Yes
B000213,Joe,Barton,1949-09-15,TX,Republican,2013-01-03,2015-01-03,Yes
B001270,Karen,Bass,1953-10-03,CA,Democrat,2011-01-05,2013-01-03,No
B001270,Karen,Bass,1953-10-03,CA,Democrat,2013-01-03,2015-01-03,Yes
B000287,Xavier,Becerra,1958-01-26,CA,Democrat,1993-01-05,1994-12-01,No
B000287,Xavier,Becerra,1958-01-26,CA,Democrat,1995-01-04,1996-10-04,Yes
B000287,Xavier,Becerra,1958-01-26,CA,Democrat,1997-01-07,1998-12-19,Yes
B000287,Xavier,Becerra,1958-01-26,CA,Democrat,1999-01-06,2000-12-15,Yes
B000287,Xavier,Becerra,1958-01-26,CA,Democrat,2001-01-03,2002-11-22,Yes
B000287,Xavier,Becerra,1958-01-26,CA,Democrat,2003-01-07,2004-12-09,Yes
B000287,Xavier,Becerra,1958-01-26,CA,Democrat,2005-01-04,2006-12-09,Yes
B000287,Xavier,Becerra,1958-01-26,CA,Democrat,2007-01-04,2009-01-03,Yes
